
Id: 1/Name: BASIC/Note: zkouska/Boat: 1/Cycles: 1/Before Delay: 0/Identifier: 2
1/CLOSE APERTURE/0/0
2/Linear/5000/10
3/Const/1000/10
4/OPEN APERTURE/0/10
5/Const/10000/10
6/CLOSE APERTURE/0/10
7/Const/1000/10
8/Linear/5000/0

Pressure:  mbar


v1
c
l 000 025 5000
k 1000
o
k 10000
c
k 1000
l 025 000 5000
100 ms time steps

Time[ms] PWM Iboat1[au] Iboat2[au] Info
11 0 5 3 l*100*0
110 0 4 1 l*100*1
210 1 5 3 l*100*2
310 1 3 1 l*100*3
411 2 5 1 l*100*4
511 2 4 0 l*100*5
611 3 2 1 l*100*6
711 3 4 3 l*100*7
812 4 2 2 l*100*8
912 4 3 1 l*100*9
1012 5 6 2 l*100*10
1112 5 2 0 l*100*11
1213 6 4 1 l*100*12
1312 6 4 0 l*100*13
1412 7 6 0 l*100*14
1513 7 3 0 l*100*15
1613 8 2 0 l*100*16
1713 8 4 0 l*100*17
1814 9 7 3 l*100*18
1914 9 3 1 l*100*19
2014 10 4 1 l*100*20
2115 10 3 0 l*100*21
2215 11 4 3 l*100*22
2315 11 6 1 l*100*23
2415 12 5 0 l*100*24
2515 12 2 0 l*100*25
2615 13 3 0 l*100*26
2716 13 5 3 l*100*27
2816 14 5 1 l*100*28
2916 14 6 0 l*100*29
3016 15 4 2 l*100*30
3117 15 43 2 l*100*31
3218 16 45 0 l*100*32
3317 16 37 0 l*100*33
3417 17 53 0 l*100*34
3518 17 49 2 l*100*35
3618 18 57 2 l*100*36
3717 18 66 0 l*100*37
3819 19 70 0 l*100*38
3919 19 77 1 l*100*39
4019 20 68 0 l*100*40
4120 20 75 0 l*100*41
4220 21 75 2 l*100*42
4320 21 86 1 l*100*43
4421 22 78 1 l*100*44
4520 22 84 2 l*100*45
4621 23 84 3 l*100*46
4722 23 86 0 l*100*47
4822 24 84 0 l*100*48
4922 24 95 0 l*100*49
5023 25 93 0 l*100*last
5034 25 95 2 k*100*0
5131 25 99 2 k*100*1
5233 25 98 1 k*100*2
5332 25 100 0 k*100*3
5433 25 93 1 k*100*4
5533 25 96 2 k*100*5
5634 25 100 2 k*100*6
5733 25 90 0 k*100*7
5834 25 95 2 k*100*8
5933 25 100 1 k*100*9
6034 25 93 3 k*100*last
6048 25 94 1 k*100*0
6146 25 99 3 k*100*1
6245 25 95 0 k*100*2
6346 25 93 0 k*100*3
6445 25 99 3 k*100*4
6547 25 95 0 k*100*5
6646 25 93 0 k*100*6
6747 25 97 0 k*100*7
6847 25 96 3 k*100*8
6948 25 93 1 k*100*9
7047 25 96 0 k*100*10
7149 25 93 1 k*100*11
7248 25 96 2 k*100*12
7349 25 101 2 k*100*13
7449 25 95 3 k*100*14
7550 25 95 3 k*100*15
7649 25 97 1 k*100*16
7750 25 92 0 k*100*17
7851 25 95 3 k*100*18
7950 25 99 4 k*100*19
8052 25 94 2 k*100*20
8151 25 96 1 k*100*21
8253 25 99 0 k*100*22
8351 25 95 2 k*100*23
8452 25 94 1 k*100*24
8552 25 96 1 k*100*25
8653 25 93 0 k*100*26
8752 25 96 0 k*100*27
8854 25 97 2 k*100*28
8953 25 97 1 k*100*29
9054 25 92 3 k*100*30
9154 25 96 0 k*100*31
9255 25 99 1 k*100*32
9355 25 92 0 k*100*33
9455 25 98 3 k*100*34
9556 25 97 2 k*100*35
9655 25 91 2 k*100*36
9757 25 98 2 k*100*37
9856 25 98 2 k*100*38
9957 25 91 1 k*100*39
10056 25 98 0 k*100*40
10157 25 93 2 k*100*41
10256 25 97 2 k*100*42
10357 25 94 1 k*100*43
10456 25 100 1 k*100*44
10558 25 94 0 k*100*45
10657 25 94 0 k*100*46
10758 25 95 0 k*100*47
10858 25 93 1 k*100*48
10959 25 101 2 k*100*49
11058 25 95 1 k*100*50
11160 25 89 2 k*100*51
11259 25 98 1 k*100*52
11360 25 95 2 k*100*53
11460 25 91 3 k*100*54
11561 25 100 1 k*100*55
11660 25 93 1 k*100*56
11762 25 89 2 k*100*57
11861 25 97 2 k*100*58
11962 25 94 1 k*100*59
12062 25 92 0 k*100*60
12163 25 99 0 k*100*61
12263 25 95 2 k*100*62
12364 25 91 2 k*100*63
12463 25 95 4 k*100*64
12565 25 94 1 k*100*65
12664 25 92 0 k*100*66
12765 25 90 1 k*100*67
12865 25 93 1 k*100*68
12966 25 97 2 k*100*69
13065 25 101 2 k*100*70
13167 25 97 3 k*100*71
13266 25 96 2 k*100*72
13367 25 100 0 k*100*73
13467 25 96 1 k*100*74
13567 25 97 0 k*100*75
13668 25 98 0 k*100*76
13768 25 98 0 k*100*77
13867 25 98 0 k*100*78
13968 25 99 2 k*100*79
14067 25 97 0 k*100*80
14168 25 98 0 k*100*81
14267 25 99 2 k*100*82
14368 25 96 1 k*100*83
14467 25 97 3 k*100*84
14569 25 97 0 k*100*85
14668 25 99 2 k*100*86
14769 25 96 0 k*100*87
14869 25 99 1 k*100*88
14970 25 96 1 k*100*89
15069 25 99 1 k*100*90
15171 25 96 0 k*100*91
15270 25 96 1 k*100*92
15371 25 97 2 k*100*93
15471 25 97 0 k*100*94
15572 25 99 2 k*100*95
15672 25 97 0 k*100*96
15772 25 100 4 k*100*97
15873 25 97 1 k*100*98
15972 25 99 1 k*100*99
16072 25 99 1 k*100*last
16084 25 98 0 k*100*0
16181 25 98 0 k*100*1
16283 25 100 2 k*100*2
16382 25 99 3 k*100*3
16483 25 96 0 k*100*4
16583 25 99 3 k*100*5
16683 25 95 1 k*100*6
16784 25 93 0 k*100*7
16883 25 97 2 k*100*8
16984 25 96 0 k*100*9
17083 25 94 3 k*100*last
17099 25 93 3 l*100*0
17196 25 98 2 l*100*1
17296 24 96 1 l*100*2
17395 24 83 3 l*100*3
17496 23 85 3 l*100*4
17597 23 86 0 l*100*5
17696 22 88 1 l*100*6
17796 22 78 0 l*100*7
17897 21 75 0 l*100*8
17997 21 71 0 l*100*9
18097 20 78 0 l*100*10
18198 20 69 3 l*100*11
18297 19 73 3 l*100*12
18398 19 70 2 l*100*13
18499 18 65 3 l*100*14
18599 18 52 2 l*100*15
18699 17 52 0 l*100*16
18800 17 58 2 l*100*17
18900 16 45 2 l*100*18
19000 16 48 1 l*100*19
19100 15 37 2 l*100*20
19201 15 36 0 l*100*21
19301 14 42 0 l*100*22
19401 14 31 0 l*100*23
19501 13 23 0 l*100*24
19602 13 16 1 l*100*25
19701 12 12 0 l*100*26
19801 12 11 2 l*100*27
19902 11 8 0 l*100*28
20001 11 8 1 l*100*29
20102 10 8 0 l*100*30
20203 10 4 1 l*100*31
20303 9 7 4 l*100*32
20403 9 7 4 l*100*33
20504 8 3 1 l*100*34
20604 8 3 0 l*100*35
20704 7 5 2 l*100*36
20804 7 5 3 l*100*37
20905 6 5 3 l*100*38
21005 6 7 2 l*100*39
21106 5 4 0 l*100*40
21206 5 6 1 l*100*41
21306 4 3 3 l*100*42
21406 4 5 3 l*100*43
21507 3 4 1 l*100*44
21608 3 4 0 l*100*45
21708 2 5 1 l*100*46
21808 2 5 1 l*100*47
21909 1 2 0 l*100*48
22009 1 3 1 l*100*49
22109 0 6 0 l*100*last
