
Id: 1/Name: BASIC/Note: zkouska/Boat: 1/Cycles: 1/Before Delay: 0/Identifier: 2
1/CLOSE APERTURE/0/0
2/Linear/5000/10
3/Const/1000/10
4/OPEN APERTURE/0/10
5/Const/10000/10
6/CLOSE APERTURE/0/10
7/Const/1000/10
8/Linear/5000/0

Pressure:  mbar


v1
c
l 000 025 5000
k 1000
o
k 10000
c
k 1000
l 025 000 5000
100 ms time steps

Time[ms] PWM Iboat1[au] Iboat2[au] Info
12 0 3 2 l*100*0
110 0 4 0 l*100*1
209 1 2 0 l*100*2
309 1 4 0 l*100*3
410 2 4 0 l*100*4
510 2 3 2 l*100*5
610 3 4 0 l*100*6
711 3 3 0 l*100*7
811 4 2 0 l*100*8
911 4 4 3 l*100*9
1012 5 2 0 l*100*10
1112 5 5 2 l*100*11
1212 6 6 3 l*100*12
1313 6 3 0 l*100*13
1413 7 5 2 l*100*14
1512 7 4 2 l*100*15
1614 8 3 0 l*100*16
1714 8 2 2 l*100*17
1814 9 3 1 l*100*18
1915 9 1 0 l*100*19
2015 10 4 3 l*100*20
2116 10 6 2 l*100*21
2215 11 6 3 l*100*22
2315 11 5 1 l*100*23
2416 12 5 1 l*100*24
2516 12 4 0 l*100*25
2616 13 5 3 l*100*26
2717 13 4 2 l*100*27
2817 14 4 1 l*100*28
2917 14 6 2 l*100*29
3018 15 4 1 l*100*30
3118 15 5 1 l*100*31
3218 16 4 2 l*100*32
3319 16 3 0 l*100*33
3419 17 4 0 l*100*34
3519 17 4 0 l*100*35
3620 18 3 1 l*100*36
3720 18 4 1 l*100*37
3820 19 3 2 l*100*38
3920 19 5 1 l*100*39
4020 20 4 0 l*100*40
4122 20 6 1 l*100*41
4222 21 0 0 l*100*42
4322 21 3 1 l*100*43
4423 22 4 0 l*100*44
4523 22 3 1 l*100*45
4623 23 6 2 l*100*46
4724 23 4 1 l*100*47
4824 24 2 0 l*100*48
4924 24 1 0 l*100*49
5025 25 3 0 l*100*last
5036 25 5 2 k*100*0
5134 25 6 0 k*100*1
5234 25 3 1 k*100*2
5335 25 2 0 k*100*3
5434 25 1 1 k*100*4
5535 25 3 3 k*100*5
5636 25 3 0 k*100*6
5735 25 3 0 k*100*7
5837 25 4 0 k*100*8
5937 25 5 2 k*100*9
6036 25 4 1 k*100*last
6051 25 2 0 k*100*0
6149 25 3 0 k*100*1
6248 25 2 0 k*100*2
6349 25 2 0 k*100*3
6450 25 2 0 k*100*4
6549 25 5 3 k*100*5
6651 25 3 0 k*100*6
6751 25 2 2 k*100*7
6850 25 2 0 k*100*8
6951 25 2 2 k*100*9
7050 25 2 1 k*100*10
7156 25 5 3 k*100*11
7252 25 4 0 k*100*12
7351 25 5 1 k*100*13
7453 25 3 2 k*100*14
7553 25 5 0 k*100*15
7652 25 5 3 k*100*16
7754 25 4 0 k*100*17
7853 25 4 0 k*100*18
7954 25 2 1 k*100*19
8055 25 2 0 k*100*20
8154 25 4 0 k*100*21
8255 25 4 1 k*100*22
8355 25 2 0 k*100*23
8456 25 2 0 k*100*24
8556 25 4 2 k*100*25
8655 25 5 3 k*100*26
8756 25 3 1 k*100*27
8855 25 4 1 k*100*28
8956 25 3 2 k*100*29
9057 25 4 0 k*100*30
9157 25 5 1 k*100*31
9258 25 3 0 k*100*32
9357 25 1 0 k*100*33
9458 25 3 1 k*100*34
9559 25 3 0 k*100*35
9658 25 4 2 k*100*36
9760 25 4 1 k*100*37
9859 25 2 1 k*100*38
9959 25 2 1 k*100*39
10061 25 4 2 k*100*40
10160 25 4 1 k*100*41
10261 25 3 2 k*100*42
10361 25 2 0 k*100*43
10461 25 1 0 k*100*44
10562 25 3 0 k*100*45
10661 25 4 3 k*100*46
10762 25 2 0 k*100*47
10863 25 6 1 k*100*48
10962 25 2 0 k*100*49
11063 25 4 0 k*100*50
11163 25 2 0 k*100*51
11263 25 3 1 k*100*52
11364 25 2 1 k*100*53
11464 25 1 0 k*100*54
11565 25 4 0 k*100*55
11664 25 5 0 k*100*56
11765 25 4 0 k*100*57
11866 25 4 2 k*100*58
11966 25 4 2 k*100*59
12066 25 3 0 k*100*60
12167 25 4 2 k*100*61
12266 25 4 0 k*100*62
12367 25 4 1 k*100*63
12468 25 2 0 k*100*64
12567 25 4 0 k*100*65
12668 25 2 0 k*100*66
12768 25 4 0 k*100*67
12868 25 3 1 k*100*68
12969 25 4 1 k*100*69
13068 25 1 0 k*100*70
13169 25 3 1 k*100*71
13270 25 2 0 k*100*72
13369 25 4 0 k*100*73
13471 25 2 0 k*100*74
13570 25 4 1 k*100*75
13670 25 2 0 k*100*76
13772 25 2 1 k*100*77
13871 25 2 0 k*100*78
13972 25 2 1 k*100*79
14072 25 4 4 k*100*80
14172 25 3 0 k*100*81
14273 25 3 2 k*100*82
14373 25 3 3 k*100*83
14472 25 6 3 k*100*84
14574 25 2 0 k*100*85
14673 25 5 3 k*100*86
14772 25 4 3 k*100*87
14874 25 4 0 k*100*88
14973 25 4 0 k*100*89
15073 25 5 2 k*100*90
15175 25 4 3 k*100*91
15274 25 3 2 k*100*92
15375 25 3 0 k*100*93
15475 25 2 0 k*100*94
15575 25 5 2 k*100*95
15676 25 3 1 k*100*96
15776 25 3 1 k*100*97
15877 25 3 0 k*100*98
15977 25 4 0 k*100*99
16077 25 6 2 k*100*last
16089 25 3 1 k*100*0
16185 25 5 2 k*100*1
16287 25 4 0 k*100*2
16386 25 5 0 k*100*3
16487 25 4 0 k*100*4
16586 25 3 1 k*100*5
16687 25 4 0 k*100*6
16786 25 3 1 k*100*7
16887 25 4 0 k*100*8
16988 25 3 0 k*100*9
17087 25 2 0 k*100*last
17102 25 3 0 l*100*0
17200 25 3 0 l*100*1
17300 24 3 1 l*100*2
17401 24 6 0 l*100*3
17501 23 4 2 l*100*4
17601 23 6 0 l*100*5
17702 22 4 0 l*100*6
17802 22 5 2 l*100*7
17903 21 4 4 l*100*8
18003 21 6 2 l*100*9
18103 20 5 0 l*100*10
18204 20 5 1 l*100*11
18304 19 3 0 l*100*12
18404 19 2 0 l*100*13
18505 18 5 3 l*100*14
18604 18 3 0 l*100*15
18705 17 5 1 l*100*16
18806 17 5 1 l*100*17
18906 16 2 0 l*100*18
19006 16 5 0 l*100*19
19107 15 6 0 l*100*20
19207 15 5 2 l*100*21
19308 14 5 0 l*100*22
19408 14 7 1 l*100*23
19508 13 2 0 l*100*24
19609 13 3 1 l*100*25
19708 12 3 2 l*100*26
19808 12 5 3 l*100*27
19909 11 5 2 l*100*28
20009 11 2 0 l*100*29
20109 10 4 0 l*100*30
20210 10 3 1 l*100*31
20310 9 5 3 l*100*32
20410 9 5 1 l*100*33
20511 8 3 0 l*100*34
20611 8 2 0 l*100*35
20711 7 5 2 l*100*36
20812 7 4 0 l*100*37
20912 6 5 2 l*100*38
21012 6 4 3 l*100*39
21113 5 6 3 l*100*40
21213 5 1 1 l*100*41
21313 4 2 0 l*100*42
21414 4 4 0 l*100*43
21514 3 2 0 l*100*44
21615 3 5 1 l*100*45
21715 2 4 0 l*100*46
21815 2 4 2 l*100*47
21916 1 3 0 l*100*48
22016 1 6 1 l*100*49
22116 0 5 1 l*100*last
